1,1
54,1
41,1
9033,1
168,2
159,2
228,3
190,3
227,3
223,3
531,1
7012,1
88,1
26,1
250,3
77,1
230,3
24,1
7003,1
7017,1
204,3
23,1
160,2
149,2
9026,1
9533,1
59,1
184,2
43,1
122,2
175,2
39,1
143,2
112,1
34,1
137,2
55,1
323,1
9006,1
17,1
243,3
1190,1
9,1
172,2
12,1
192,3
20,1
552,1
664,3
7061,1
14,1
167,2
127,2
123,2
177,2
19,1
179,2
7024,1
242,3
239,3
1200,1
35,1
197,3
131,2
9021,1
21,1
244,3
45,1
139,2
181,2
85,1
105,1
3,1
81,1
27,1
526,1
7057,1
162,2
63,1
92,1
208,3
9005,1
214,3
120,2
224,3
9037,1
87,1
117,2
9032,1
178,2
89,1
9052,1
176,2
182,2
225,3
195,3
9121,1
7001,1
249,3
161,2
562,1
9012,1
202,3
146,2
142,2
219,3
80,1
203,3
113,1
110,1
322,1
9034,1
157,2
9023,1
57,1
165,2
231,3
173,2
200,3
171,2
233,3
9041,1
130,2
319,1
15,1
61,1
247,3
9031,1
108,1
7023,1
100,1
46,1
9007,1
170,2
151,2
248,3
147,2
528,1
76,1
186,2
180,2
135,2
48,1
103,1
109,1
320,1
217,3
9038,1
2,1
183,2
155,2
51,1
53,1
7002,1
2040,3
7062,1
141,2
213,3
10,1
215,3
7130,2
154,2
49,1
218,3
5,1
9071,1
62,1
196,3
90,1
234,3
205,3
237,3
201,1
7044,1
9055,1
164,2
86,1
126,2
152,2
71,1
9051,1
37,1
226,3
245,3
9024,1
6,1
7071,1
125,2
9053,1
98,1
9022,1
174,2
187,2
7,1
194,3
140,2
107,1
102,1
69,1
9004,1
9036,1
97,1
4,1
9043,1
221,3
235,3
212,3
210,3
13,1
136,2
211,3
134,2
133,2
148,2
240,3
9054,1
193,3
118,2
246,3
38,1
9003,1
9042,1
9002,1
188,2
199,3
116,2
241,3
132,2
78,1
74,1
9035,1
119,2
236,3
7166,2
42,1
33,1
52,1
9072,1
121,2
115,2
7055,1
163,2
281,3
609,1
58,1
25,1
114,1
9044,1
166,2
206,3
9025,1
7049,1
7039,1
44,1
169,2
129,2
189,3
150,2
94,1
99,1
207,1
47,1
73,1
79,1
7011,1
216,3
84,1
104,1
124,2
238,3
209,3
185,2
70,1
191,3
8,1
198,3
64,1
222,3
91,1
1201,2
60,1
158,2
156,2
229,3
144,2
220,3
22,1
11,1
9001,1
324,1
7139,2
16,1
40,1
72,1
128,2
145,2
36,1
138,2
232,3
153,2
